,Signal,Room
0,-80.0,balcony
1,-78.0,balcony
2,-78.0,balcony
3,-79.0,balcony
4,-81.0,balcony
5,-80.0,balcony
6,-83.0,balcony
7,-86.0,balcony
8,-86.0,balcony
9,-84.0,balcony
10,-80.0,balcony
11,-82.0,balcony
12,-77.0,balcony
13,-79.0,balcony
14,-76.0,balcony
15,-79.0,balcony
16,-80.0,balcony
17,-83.0,balcony
18,-81.0,balcony
19,-79.0,balcony
20,-76.0,balcony
21,-78.0,balcony
22,-78.0,balcony
23,-73.0,balcony
24,-77.0,balcony
25,-77.0,balcony
26,-78.0,balcony
27,-77.0,balcony
28,-78.0,balcony
29,-80.0,balcony
30,-79.0,balcony
31,-78.0,balcony
32,-77.0,balcony
33,-77.0,balcony
34,-78.0,balcony
35,-79.0,balcony
36,-82.0,balcony
37,-77.0,balcony
38,-79.0,balcony
39,-83.0,balcony
40,-82.0,balcony
41,-84.0,balcony
42,-81.0,balcony
43,-80.0,balcony
44,-81.0,balcony
45,-81.0,balcony
46,-81.0,balcony
47,-81.0,balcony
48,-82.0,balcony
49,-83.0,balcony
50,-79.0,balcony
51,-78.0,balcony
52,-80.0,balcony
53,-79.0,balcony
54,-77.0,balcony
55,-77.0,balcony
56,-78.0,balcony
57,-76.0,balcony
58,-76.0,balcony
59,-75.0,balcony
60,-75.0,balcony
61,-75.0,balcony
62,-76.0,balcony
63,-73.0,balcony
64,-74.0,balcony
65,-76.0,balcony
66,-76.0,balcony
67,-77.0,balcony
68,-77.0,balcony
69,-77.0,balcony
70,-82.0,balcony
71,-85.0,balcony
72,-81.0,balcony
73,-84.0,balcony
74,-84.0,balcony
75,-82.0,balcony
76,-82.0,balcony
77,-79.0,balcony
78,-80.0,balcony
79,-79.0,balcony
80,-80.0,balcony
81,-80.0,balcony
82,-82.0,balcony
83,-79.0,balcony
84,-74.0,balcony
85,-78.0,balcony
86,-77.0,balcony
87,-77.0,balcony
88,-75.0,balcony
89,-76.0,balcony
90,-76.0,balcony
91,-75.0,balcony
92,-76.0,balcony
93,-77.0,balcony
94,-74.0,balcony
95,-78.0,balcony
96,-78.0,balcony
97,-78.0,balcony
98,-72.0,balcony
99,-77.0,balcony
0,-53.0,bathroom
1,-56.0,bathroom
2,-60.0,bathroom
3,-65.0,bathroom
4,-61.0,bathroom
5,-64.0,bathroom
6,-68.0,bathroom
7,-65.0,bathroom
8,-64.0,bathroom
9,-67.0,bathroom
10,-57.0,bathroom
11,-59.0,bathroom
12,-57.0,bathroom
13,-50.0,bathroom
14,-49.0,bathroom
15,-48.0,bathroom
16,-54.0,bathroom
17,-45.0,bathroom
18,-52.0,bathroom
19,-54.0,bathroom
20,-52.0,bathroom
21,-58.0,bathroom
22,-61.0,bathroom
23,-58.0,bathroom
24,-61.0,bathroom
25,-55.0,bathroom
26,-55.0,bathroom
27,-51.0,bathroom
28,-51.0,bathroom
29,-51.0,bathroom
30,-49.0,bathroom
31,-46.0,bathroom
32,-47.0,bathroom
33,-43.0,bathroom
34,-53.0,bathroom
35,-49.0,bathroom
36,-50.0,bathroom
37,-48.0,bathroom
38,-55.0,bathroom
39,-49.0,bathroom
40,-51.0,bathroom
41,-62.0,bathroom
42,-59.0,bathroom
43,-56.0,bathroom
44,-63.0,bathroom
45,-62.0,bathroom
46,-67.0,bathroom
47,-58.0,bathroom
48,-57.0,bathroom
49,-59.0,bathroom
50,-53.0,bathroom
51,-47.0,bathroom
52,-42.0,bathroom
53,-44.0,bathroom
54,-43.0,bathroom
55,-39.0,bathroom
56,-45.0,bathroom
57,-49.0,bathroom
58,-50.0,bathroom
59,-55.0,bathroom
60,-47.0,bathroom
61,-51.0,bathroom
62,-56.0,bathroom
63,-60.0,bathroom
64,-52.0,bathroom
65,-57.0,bathroom
66,-55.0,bathroom
67,-62.0,bathroom
68,-60.0,bathroom
69,-58.0,bathroom
70,-60.0,bathroom
71,-51.0,bathroom
72,-46.0,bathroom
73,-44.0,bathroom
74,-42.0,bathroom
75,-48.0,bathroom
76,-52.0,bathroom
77,-59.0,bathroom
78,-58.0,bathroom
79,-56.0,bathroom
80,-59.0,bathroom
81,-62.0,bathroom
82,-61.0,bathroom
83,-55.0,bathroom
84,-58.0,bathroom
85,-61.0,bathroom
86,-61.0,bathroom
87,-65.0,bathroom
88,-62.0,bathroom
89,-60.0,bathroom
90,-64.0,bathroom
91,-60.0,bathroom
92,-56.0,bathroom
93,-61.0,bathroom
94,-49.0,bathroom
95,-52.0,bathroom
96,-48.0,bathroom
97,-40.0,bathroom
98,-47.0,bathroom
99,-40.0,bathroom
0,-75.0,bedroom
1,-75.0,bedroom
2,-75.0,bedroom
3,-75.0,bedroom
4,-75.0,bedroom
5,-75.0,bedroom
6,-75.0,bedroom
7,-73.0,bedroom
8,-72.0,bedroom
9,-76.0,bedroom
10,-72.0,bedroom
11,-73.0,bedroom
12,-72.0,bedroom
13,-71.0,bedroom
14,-73.0,bedroom
15,-71.0,bedroom
16,-75.0,bedroom
17,-73.0,bedroom
18,-71.0,bedroom
19,-71.0,bedroom
20,-68.0,bedroom
21,-68.0,bedroom
22,-68.0,bedroom
23,-67.0,bedroom
24,-72.0,bedroom
25,-71.0,bedroom
26,-72.0,bedroom
27,-73.0,bedroom
28,-71.0,bedroom
29,-72.0,bedroom
30,-72.0,bedroom
31,-72.0,bedroom
32,-70.0,bedroom
33,-69.0,bedroom
34,-75.0,bedroom
35,-71.0,bedroom
36,-74.0,bedroom
37,-72.0,bedroom
38,-73.0,bedroom
39,-74.0,bedroom
40,-77.0,bedroom
41,-79.0,bedroom
42,-75.0,bedroom
43,-74.0,bedroom
44,-73.0,bedroom
45,-71.0,bedroom
46,-70.0,bedroom
47,-70.0,bedroom
48,-70.0,bedroom
49,-70.0,bedroom
50,-70.0,bedroom
51,-69.0,bedroom
52,-70.0,bedroom
53,-68.0,bedroom
54,-68.0,bedroom
55,-70.0,bedroom
56,-70.0,bedroom
57,-70.0,bedroom
58,-70.0,bedroom
59,-71.0,bedroom
60,-71.0,bedroom
61,-71.0,bedroom
62,-71.0,bedroom
63,-70.0,bedroom
64,-70.0,bedroom
65,-70.0,bedroom
66,-71.0,bedroom
67,-71.0,bedroom
68,-73.0,bedroom
69,-71.0,bedroom
70,-69.0,bedroom
71,-69.0,bedroom
72,-70.0,bedroom
73,-71.0,bedroom
74,-71.0,bedroom
75,-71.0,bedroom
76,-74.0,bedroom
77,-72.0,bedroom
78,-76.0,bedroom
79,-72.0,bedroom
80,-68.0,bedroom
81,-71.0,bedroom
82,-69.0,bedroom
83,-74.0,bedroom
84,-75.0,bedroom
85,-73.0,bedroom
86,-72.0,bedroom
87,-70.0,bedroom
88,-67.0,bedroom
89,-68.0,bedroom
90,-69.0,bedroom
91,-68.0,bedroom
92,-67.0,bedroom
93,-68.0,bedroom
94,-69.0,bedroom
95,-67.0,bedroom
96,-69.0,bedroom
97,-67.0,bedroom
98,-69.0,bedroom
99,-69.0,bedroom
0,-57.0,kitchen
1,-54.0,kitchen
2,-54.0,kitchen
3,-58.0,kitchen
4,-61.0,kitchen
5,-61.0,kitchen
6,-64.0,kitchen
7,-61.0,kitchen
8,-63.0,kitchen
9,-64.0,kitchen
10,-71.0,kitchen
11,-66.0,kitchen
12,-63.0,kitchen
13,-69.0,kitchen
14,-64.0,kitchen
15,-63.0,kitchen
16,-63.0,kitchen
17,-65.0,kitchen
18,-53.0,kitchen
19,-59.0,kitchen
20,-64.0,kitchen
21,-70.0,kitchen
22,-68.0,kitchen
23,-70.0,kitchen
24,-68.0,kitchen
25,-70.0,kitchen
26,-72.0,kitchen
27,-70.0,kitchen
28,-59.0,kitchen
29,-61.0,kitchen
30,-63.0,kitchen
31,-62.0,kitchen
32,-53.0,kitchen
33,-54.0,kitchen
34,-55.0,kitchen
35,-59.0,kitchen
36,-65.0,kitchen
37,-71.0,kitchen
38,-72.0,kitchen
39,-73.0,kitchen
40,-70.0,kitchen
41,-74.0,kitchen
42,-72.0,kitchen
43,-71.0,kitchen
44,-76.0,kitchen
45,-72.0,kitchen
46,-65.0,kitchen
47,-67.0,kitchen
48,-69.0,kitchen
49,-66.0,kitchen
50,-65.0,kitchen
51,-73.0,kitchen
52,-64.0,kitchen
53,-65.0,kitchen
54,-71.0,kitchen
55,-67.0,kitchen
56,-66.0,kitchen
57,-69.0,kitchen
58,-71.0,kitchen
59,-73.0,kitchen
60,-72.0,kitchen
61,-73.0,kitchen
62,-66.0,kitchen
63,-74.0,kitchen
64,-67.0,kitchen
65,-64.0,kitchen
66,-64.0,kitchen
67,-60.0,kitchen
68,-67.0,kitchen
69,-70.0,kitchen
70,-73.0,kitchen
71,-71.0,kitchen
72,-67.0,kitchen
73,-64.0,kitchen
74,-66.0,kitchen
75,-64.0,kitchen
76,-61.0,kitchen
